name,description,minutes,tags,steps,ingredients,Calories,Protein,Fat,Sugar,Sodium,Iron,Vitamin C,Cholesterol,Trans Fat,Calcium
Vegetable Stir Fry,A delicious dish made with Salt and other ingredients.,41,"Asian,Recipe,Vegetarian","Prepare the Balsamic vinegar., Prepare the Rice., Prepare the Cheese., Prepare the Rice., Prepare the Parmesan cheese.","Rice, Soy sauce, Cheese, Parmesan cheese, Balsamic vinegar",732,39,24,24,182,1.42,51,228,5.21,156
Cranberry Sauce,A delicious dish made with Pasta and other ingredients.,50,"General,Recipe,Vegetarian","Prepare the Shrimp., Prepare the Shrimp., Prepare the Basil., Prepare the Flour., Prepare the Flour.","Basil, Flour, Shrimp",451,28,25,25,50,0.61,0,81,4.84,697
Pasta Salad,A delicious dish made with Basil and other ingredients.,50,"General,Recipe,Vegetarian","Prepare the Parmesan cheese., Prepare the Coconut milk., Prepare the Onions., Prepare the Parmesan cheese., Prepare the Thyme.","Parmesan cheese, Onions, Basil, Thyme, Coconut milk",374,34,32,29,1048,2.36,90,284,3.21,648
Szechuan Noodles,A delicious dish made with Vegetable broth and other ingredients.,34,"General,Recipe,Vegetarian","Prepare the Rice., Prepare the Rice., Prepare the Tomatoes., Prepare the Tomatoes., Prepare the Cilantro.","Rice, Cilantro, Tomatoes",241,34,40,26,651,1.2,15,179,5.46,480
Caramel Flan,A delicious dish made with Cumin and other ingredients.,15,"General,Recipe,Quick,Vegetarian","Prepare the Spinach., Prepare the Tomatoes., Prepare the Spinach., Prepare the Spinach., Prepare the Garlic.","Pepper, Spinach, Tomatoes, Garlic, Chili powder",512,42,22,0,883,3.79,94,163,8.9,923
Crab Cakes,A delicious dish made with Shrimp and other ingredients.,17,"General,Recipe,Quick,Low Fat","Prepare the Beef., Prepare the Lettuce., Prepare the Lettuce., Prepare the Lettuce., Prepare the Beef.","Pork, Beef, Lettuce",640,44,12,20,1163,1.96,62,148,9.63,365
Beef Kebab,A delicious dish made with Caesar dressing and other ingredients.,38,"General,Recipe,Vegetarian","Prepare the Flour., Prepare the Eggs., Prepare the Vegetable broth., Prepare the Flour., Prepare the Cilantro.","Flour, Eggs, Vegetable broth, Parmesan cheese, Cilantro",515,47,26,15,622,1.31,23,169,1.84,405
Ramen Noodles,A delicious dish made with Pasta and other ingredients.,49,"General,Recipe,Vegetarian","Prepare the Coconut milk., Prepare the Vegetable broth., Prepare the Soy sauce., Prepare the Coconut milk., Prepare the Coconut milk.","Cheese, Coconut milk, Soy sauce, Eggs, Vegetable broth",597,8,40,9,709,1.08,99,77,7.53,896
Bangers and Mash,A delicious dish made with Garlic and other ingredients.,40,"General,Recipe","Prepare the Beef., Prepare the Cocoa powder., Prepare the Cocoa powder., Prepare the Pork., Prepare the Cocoa powder.","Pork, Cocoa powder, Beef",325,27,38,11,1033,0.28,99,213,7.87,317
Chicken Tenders,A delicious dish made with Olive oil and other ingredients.,51,"General,Recipe,Vegetarian","Prepare the Broccoli., Prepare the Broccoli., Prepare the Coconut milk., Prepare the Soy sauce., Prepare the Soy sauce.","Lemon, Balsamic vinegar, Spinach, Broccoli, Soy sauce, Coconut milk",234,24,29,4,17,3.99,27,161,6.48,953
Seafood Gumbo,A delicious dish made with Flour and other ingredients.,36,"General,Recipe,Vegetarian,Low Fat","Prepare the Shrimp., Prepare the Cheese., Prepare the Shrimp., Prepare the Shrimp., Prepare the Salt.","Cheese, Salt, Garlic, Shrimp, Tortillas",248,31,10,27,1332,0.8,7,16,2.96,831
Pork Schnitzel,A delicious dish made with Thyme and other ingredients.,30,"General,Recipe,Quick,Vegetarian","Prepare the Rice., Prepare the Onions., Prepare the Rice., Prepare the Onions., Prepare the Balsamic vinegar.","Rice, Rosemary, Balsamic vinegar, Onions",522,22,28,22,922,2.84,13,17,2.69,30
Chicken Burrito,A delicious dish made with Tortillas and other ingredients.,59,"General,Recipe","Prepare the Cheese., Prepare the Beef., Prepare the Cheese., Prepare the Cheese., Prepare the Thyme.","Eggs, Cheese, Broccoli, Bell peppers, Beef, Thyme",401,12,23,29,253,0.79,20,104,0.17,246
Chicken Shawarma,A delicious dish made with Butter and other ingredients.,48,"General,Recipe,Vegetarian,Low Fat","Prepare the Caesar dressing., Prepare the Cheese., Prepare the Cheese., Prepare the Cheese., Prepare the Butter.","Cheese, Butter, Caesar dressing",344,37,5,20,327,0.85,39,157,4.11,896
Spaghetti Carbonara,A delicious dish made with Butter and other ingredients.,51,"Italian,Recipe,Vegetarian","Prepare the Tortillas., Prepare the Thyme., Prepare the Basil., Prepare the Tortillas., Prepare the Parmesan cheese.","Rosemary, Basil, Tortillas, Parmesan cheese, Tomatoes, Thyme",151,5,26,16,7,0.8,57,81,9.93,699
Tomato Soup,A delicious dish made with Thyme and other ingredients.,40,"American,Recipe","Prepare the Caesar dressing., Prepare the Vegetable broth., Prepare the Chili powder., Prepare the Onions., Prepare the Vegetable broth.","Onions, Pork, Vegetable broth, Chili powder, Caesar dressing, Soy sauce",531,6,34,2,161,4.96,17,258,0.96,918
Caesar Salad,A delicious dish made with Pepper and other ingredients.,19,"American,Recipe,Quick","Prepare the Rosemary., Prepare the Carrots., Prepare the Rosemary., Prepare the Pork., Prepare the Carrots.","Caesar dressing, Rosemary, Pork, Carrots, Thyme",645,23,22,18,557,1.12,36,178,1.88,645
Chicken Curry,A delicious dish made with Garlic and other ingredients.,60,"Indian,Recipe,Vegetarian,Low Fat","Prepare the Shrimp., Prepare the Shrimp., Prepare the Shrimp., Prepare the Tortillas., Prepare the Butter.","Broccoli, Tortillas, Eggs, Shrimp, Parmesan cheese, Butter",489,32,13,7,1179,2.48,67,27,0.62,491
Vegetable Stir Fry,A delicious dish made with Olive oil and other ingredients.,31,"Asian,Recipe,Vegetarian","Prepare the Rice., Prepare the Coconut milk., Prepare the Rice., Prepare the Coconut milk., Prepare the Lemon.","Coconut milk, Rice, Shrimp, Butter, Lemon",439,40,39,4,775,4.45,85,150,0.1,931
Beef Tacos,A delicious dish made with Flour and other ingredients.,55,"General,Recipe,Low Fat","Prepare the Vegetable broth., Prepare the Croutons., Prepare the Chicken., Prepare the Croutons., Prepare the Chicken.","Croutons, Onions, Vegetable broth, Olive oil, Chicken, Thyme",764,41,8,28,442,1.36,62,239,2.49,836
Lemon Garlic Salmon,A delicious dish made with Salt and other ingredients.,59,"General,Recipe,Low Fat","Prepare the Chicken., Prepare the Coconut milk., Prepare the Flour., Prepare the Flour., Prepare the Chili powder.","Vegetable broth, Flour, Butter, Chicken, Coconut milk, Chili powder",165,20,13,29,1071,0.61,61,7,2.51,259
Margherita Pizza,A delicious dish made with Lemon and other ingredients.,16,"General,Recipe,Quick,Vegetarian","Prepare the Bell peppers., Prepare the Pepper., Prepare the Bell peppers., Prepare the Flour., Prepare the Bell peppers.","Rosemary, Pepper, Bell peppers, Flour",425,50,36,5,429,4.26,29,23,5.78,863
Chocolate Cake,A delicious dish made with Salt and other ingredients.,55,"General,Recipe,Low Fat","Prepare the Rosemary., Prepare the Soy sauce., Prepare the Soy sauce., Prepare the Soy sauce., Prepare the Beef.","Rosemary, Soy sauce, Beef",190,14,5,23,553,0.33,72,126,0.64,682
Pancakes,A delicious dish made with Lemon and other ingredients.,52,"General,Recipe,Vegetarian","Prepare the Rosemary., Prepare the Basil., Prepare the Shrimp., Prepare the Basil., Prepare the Shrimp.","Rosemary, Tomatoes, Basil, Shrimp",353,34,15,7,570,3.42,14,300,8.88,43
Grilled Cheese,A delicious dish made with Carrots and other ingredients.,26,"General,Recipe,Quick,Low Fat","Prepare the Butter., Prepare the Cocoa powder., Prepare the Cocoa powder., Prepare the Butter., Prepare the Basil.","Cocoa powder, Beef, Spinach, Butter, Tortillas, Basil",270,48,5,7,889,0.85,71,169,1.53,790
Mushroom Risotto,A delicious dish made with Pepper and other ingredients.,35,"General,Recipe,Low Fat","Prepare the Carrots., Prepare the Balsamic vinegar., Prepare the Pasta., Prepare the Beef., Prepare the Beef.","Carrots, Shrimp, Beef, Flour, Pasta, Balsamic vinegar",377,40,6,1,1074,3.55,89,151,9.86,421
Beef Stroganoff,A delicious dish made with Flour and other ingredients.,38,"General,Recipe,Vegetarian","Prepare the Lemon., Prepare the Garlic., Prepare the Eggs., Prepare the Pasta., Prepare the Lemon.","Garlic, Eggs, Lemon, Pasta",786,26,18,28,545,1.08,13,151,1.51,164
Shrimp Scampi,A delicious dish made with Caesar dressing and other ingredients.,32,"General,Recipe,Vegetarian","Prepare the Parmesan cheese., Prepare the Flour., Prepare the Parmesan cheese., Prepare the Eggs., Prepare the Eggs.","Eggs, Flour, Parmesan cheese",327,45,20,27,851,0.79,35,152,3.39,163
Quiche Lorraine,A delicious dish made with Rice and other ingredients.,34,"General,Recipe,Low Fat","Prepare the Coconut milk., Prepare the Caesar dressing., Prepare the Coconut milk., Prepare the Spinach., Prepare the Spinach.","Cilantro, Pork, Lettuce, Caesar dressing, Coconut milk, Spinach",241,13,5,1,975,2.82,76,171,6.88,541
Stuffed Peppers,A delicious dish made with Lemon and other ingredients.,31,"General,Recipe,Low Fat","Prepare the Pasta., Prepare the Ginger., Prepare the Ginger., Prepare the Pork., Prepare the Pasta.","Ginger, Pasta, Flour, Pork",502,23,7,15,890,4.3,16,298,0.07,209
BBQ Ribs,A delicious dish made with Eggs and other ingredients.,28,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Onions., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Bell peppers., Prepare the Flour.","Cumin, Bell peppers, Onions, Thyme, Flour, Caesar dressing",506,11,6,11,702,0.19,23,296,3.37,126
Fish Tacos,A delicious dish made with Ginger and other ingredients.,43,"General,Recipe,Vegetarian,Low Fat","Prepare the Tortillas., Prepare the Thyme., Prepare the Cilantro., Prepare the Cilantro., Prepare the Thyme.","Tortillas, Tomatoes, Cilantro, Thyme",322,44,10,27,330,1.29,31,299,4.75,664
Pulled Pork Sandwich,A delicious dish made with Croutons and other ingredients.,36,"General,Recipe","Prepare the Cheese., Prepare the Spinach., Prepare the Cheese., Prepare the Cheese., Prepare the Spinach.","Chicken, Spinach, Cheese",326,47,26,19,228,3.54,31,156,3.6,368
Pad Thai,A delicious dish made with Chicken and other ingredients.,21,"General,Recipe,Quick,Vegetarian","Prepare the Rice., Prepare the Balsamic vinegar., Prepare the Balsamic vinegar., Prepare the Rice., Prepare the Balsamic vinegar.","Rice, Balsamic vinegar, Broccoli",770,32,16,23,667,1.08,69,75,9.78,934
Ratatouille,A delicious dish made with Vegetable broth and other ingredients.,23,"General,Recipe,Quick,Vegetarian","Prepare the Garlic., Prepare the Olive oil., Prepare the Cumin., Prepare the Olive oil., Prepare the Rosemary.","Garlic, Cumin, Rosemary, Olive oil",178,34,28,23,631,2.55,99,125,2.73,374
Eggplant Parmesan,A delicious dish made with Flour and other ingredients.,54,"General,Recipe,Vegetarian,Low Fat","Prepare the Sugar., Prepare the Sugar., Prepare the Shrimp., Prepare the Rosemary., Prepare the Shrimp.","Basil, Rosemary, Sugar, Shrimp",331,36,11,9,192,2.9,1,98,1.46,439
Fried Rice,A delicious dish made with Salt and other ingredients.,38,"General,Recipe,Vegetarian,Low Fat","Prepare the Vegetable broth., Prepare the Vegetable broth., Prepare the Vegetable broth., Prepare the Vegetable broth., Prepare the Croutons.","Croutons, Vegetable broth, Tortillas",268,21,13,16,511,3.61,71,83,1.46,268
Chicken Alfredo,A delicious dish made with Tortillas and other ingredients.,35,"General,Recipe","Prepare the Pork., Prepare the Rosemary., Prepare the Butter., Prepare the Pork., Prepare the Butter.","Thyme, Pork, Rosemary, Lemon, Butter, Onions",579,21,18,11,1345,3.61,19,145,2.51,171
Baked Ziti,A delicious dish made with Lemon and other ingredients.,60,"General,Recipe,Vegetarian","Prepare the Balsamic vinegar., Prepare the Croutons., Prepare the Lemon., Prepare the Croutons., Prepare the Balsamic vinegar.","Croutons, Cumin, Rice, Balsamic vinegar, Lemon",365,15,29,3,1402,2.83,25,123,1.27,514
Chili,A delicious dish made with Chicken and other ingredients.,36,"General,Recipe","Prepare the Soy sauce., Prepare the Soy sauce., Prepare the Ginger., Prepare the Coconut milk., Prepare the Soy sauce.","Lemon, Ginger, Coconut milk, Chicken, Beef, Soy sauce",656,44,17,13,532,0.37,44,19,1.15,754
Lentil Soup,A delicious dish made with Bell peppers and other ingredients.,34,"General,Recipe,Vegetarian","Prepare the Cheese., Prepare the Cheese., Prepare the Cheese., Prepare the Pepper., Prepare the Pepper.","Cheese, Basil, Pepper",308,40,31,19,186,2.6,95,152,0.52,55
Pesto Pasta,A delicious dish made with Chicken and other ingredients.,21,"General,Recipe,Quick,Vegetarian","Prepare the Soy sauce., Prepare the Caesar dressing., Prepare the Flour., Prepare the Caesar dressing., Prepare the Cumin.","Cumin, Flour, Soy sauce, Caesar dressing, Broccoli",518,43,19,10,1172,4.06,7,206,0.97,220
Minestrone Soup,A delicious dish made with Pork and other ingredients.,21,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Bell peppers., Prepare the Shrimp., Prepare the Garlic., Prepare the Sugar., Prepare the Croutons.","Croutons, Shrimp, Bell peppers, Garlic, Sugar, Salt",230,36,3,17,968,3.05,85,212,1.51,35
Beef Burgers,A delicious dish made with Basil and other ingredients.,39,"General,Recipe,Vegetarian,Low Fat","Prepare the Sugar., Prepare the Sugar., Prepare the Sugar., Prepare the Croutons., Prepare the Sugar.","Croutons, Butter, Sugar",500,39,4,17,812,1.06,46,172,1.55,29
Sushi Rolls,A delicious dish made with Eggs and other ingredients.,51,"General,Recipe,Vegetarian","Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Olive oil., Prepare the Olive oil., Prepare the Olive oil.","Caesar dressing, Olive oil, Flour",407,31,36,11,173,1.35,1,278,2.25,827
Cobb Salad,A delicious dish made with Eggs and other ingredients.,16,"General,Recipe,Quick","Prepare the Cocoa powder., Prepare the Pork., Prepare the Cocoa powder., Prepare the Lettuce., Prepare the Pepper.","Cocoa powder, Lettuce, Pork, Pepper, Beef",543,46,25,18,44,2.69,46,148,1.45,521
Fruit Salad,A delicious dish made with Flour and other ingredients.,28,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Cumin., Prepare the Salt., Prepare the Salt., Prepare the Thyme., Prepare the Cocoa powder.","Cumin, Cheese, Cocoa powder, Salt, Thyme",233,8,1,17,180,4.93,28,274,4.04,689
Tiramisu,A delicious dish made with Beef and other ingredients.,49,"General,Recipe,Vegetarian","Prepare the Pepper., Prepare the Eggs., Prepare the Pepper., Prepare the Eggs., Prepare the Tomatoes.","Eggs, Tomatoes, Pepper",699,36,34,29,1358,4.02,59,206,2.89,521
Key Lime Pie,A delicious dish made with Olive oil and other ingredients.,18,"General,Recipe,Quick","Prepare the Basil., Prepare the Chicken., Prepare the Basil., Prepare the Chicken., Prepare the Cocoa powder.","Chicken, Basil, Cocoa powder",202,14,25,13,40,0.64,47,148,6.77,968
Macaroni and Cheese,A delicious dish made with Balsamic vinegar and other ingredients.,22,"General,Recipe,Quick,Vegetarian","Prepare the Tomatoes., Prepare the Pasta., Prepare the Ginger., Prepare the Vegetable broth., Prepare the Cheese.","Cheese, Ginger, Vegetable broth, Salt, Pasta, Tomatoes",546,6,22,30,1056,1.49,20,167,0.61,586
Chicken Fajitas,A delicious dish made with Vegetable broth and other ingredients.,23,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Balsamic vinegar., Prepare the Balsamic vinegar., Prepare the Thyme., Prepare the Onions., Prepare the Balsamic vinegar.","Eggs, Thyme, Balsamic vinegar, Onions",294,6,14,19,618,1.86,74,283,4.44,608
Clam Chowder,A delicious dish made with Broccoli and other ingredients.,54,"General,Recipe","Prepare the Lemon., Prepare the Lettuce., Prepare the Tomatoes., Prepare the Tomatoes., Prepare the Lettuce.","Cumin, Pork, Cheese, Lemon, Lettuce, Tomatoes",620,29,29,17,9,2.02,87,76,8.59,411
Curry Noodles,A delicious dish made with Carrots and other ingredients.,60,"General,Recipe,Vegetarian","Prepare the Bell peppers., Prepare the Balsamic vinegar., Prepare the Garlic., Prepare the Garlic., Prepare the Eggs.","Bell peppers, Balsamic vinegar, Eggs, Garlic, Butter",627,42,26,29,955,1.28,41,181,9.52,29
Pork Chops,A delicious dish made with Chili powder and other ingredients.,24,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Sugar., Prepare the Cocoa powder., Prepare the Sugar., Prepare the Cocoa powder., Prepare the Sugar.","Cocoa powder, Sugar, Cheese",366,33,3,27,831,4.12,59,10,5.91,880
Grilled Vegetables,A delicious dish made with Beef and other ingredients.,23,"General,Recipe,Quick","Prepare the Onions., Prepare the Onions., Prepare the Onions., Prepare the Croutons., Prepare the Lettuce.","Lettuce, Onions, Croutons, Chicken, Parmesan cheese",460,30,37,28,324,4.43,12,278,1.58,108
Shrimp Fried Rice,A delicious dish made with Croutons and other ingredients.,41,"General,Recipe,Vegetarian","Prepare the Basil., Prepare the Basil., Prepare the Lemon., Prepare the Lemon., Prepare the Flour.","Flour, Basil, Lemon",325,40,34,3,522,3.68,39,41,1.69,355
Chocolate Chip Cookies,A delicious dish made with Eggs and other ingredients.,30,"General,Recipe,Quick","Prepare the Cumin., Prepare the Beef., Prepare the Beef., Prepare the Cumin., Prepare the Caesar dressing.","Salt, Cumin, Beef, Spinach, Caesar dressing",238,38,28,8,1063,3.36,10,226,0.05,753
Vanilla Cupcakes,A delicious dish made with Croutons and other ingredients.,17,"General,Recipe,Quick","Prepare the Cheese., Prepare the Cheese., Prepare the Onions., Prepare the Onions., Prepare the Tomatoes.","Onions, Cheese, Pork, Thyme, Tomatoes",322,10,27,3,374,2.57,13,75,8.33,661
Broccoli Cheddar Soup,A delicious dish made with Lemon and other ingredients.,18,"General,Recipe,Quick","Prepare the Balsamic vinegar., Prepare the Caesar dressing., Prepare the Flour., Prepare the Pork., Prepare the Caesar dressing.","Caesar dressing, Pork, Flour, Balsamic vinegar, Broccoli",278,40,18,27,398,0.46,77,237,3.59,328
Chocolate Mousse,A delicious dish made with Balsamic vinegar and other ingredients.,33,"General,Recipe,Vegetarian,Low Fat","Prepare the Cheese., Prepare the Lettuce., Prepare the Spinach., Prepare the Carrots., Prepare the Cheese.","Cocoa powder, Cheese, Lettuce, Carrots, Spinach",653,44,13,5,840,1.55,13,167,3.18,516
Beef Wellington,A delicious dish made with Olive oil and other ingredients.,27,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Rice., Prepare the Rice., Prepare the Tomatoes., Prepare the Caesar dressing., Prepare the Tomatoes.","Caesar dressing, Rice, Parmesan cheese, Tomatoes",458,49,2,10,856,4.71,62,164,7.77,174
Seafood Paella,A delicious dish made with Chili powder and other ingredients.,19,"General,Recipe,Quick,Vegetarian,Low Fat","Prepare the Shrimp., Prepare the Cilantro., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Shrimp.","Rosemary, Caesar dressing, Shrimp, Cilantro",362,15,10,2,1206,1.36,23,239,1.79,24
Chicken Pot Pie,A delicious dish made with Lettuce and other ingredients.,30,"General,Recipe,Quick,Vegetarian","Prepare the Cilantro., Prepare the Cilantro., Prepare the Tomatoes., Prepare the Tomatoes., Prepare the Onions.","Cilantro, Onions, Tomatoes, Caesar dressing, Soy sauce",384,27,25,28,908,1.8,29,226,4.48,434
Ramen,A delicious dish made with Eggs and other ingredients.,30,"General,Recipe,Quick,Vegetarian","Prepare the Pepper., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Caesar dressing., Prepare the Caesar dressing.","Caesar dressing, Tomatoes, Pepper",290,8,31,25,667,2.25,0,130,1.5,314
Baked Chicken,A delicious dish made with Chicken and other ingredients.,43,"General,Recipe,Vegetarian","Prepare the Soy sauce., Prepare the Spinach., Prepare the Spinach., Prepare the Soy sauce., Prepare the Soy sauce.","Spinach, Tomatoes, Soy sauce",218,19,40,4,706,4.41,7,154,3.69,122
Tom Kha Gai,A delicious dish made with Chicken and other ingredients.,47,"General,Recipe,Vegetarian","Prepare the Soy sauce., Prepare the Flour., Prepare the Flour., Prepare the Onions., Prepare the Flour.","Flour, Soy sauce, Onions",780,6,23,16,282,0.6,41,88,1.71,967
Vegetable Lasagna,A delicious dish made with Rosemary and other ingredients.,57,"General,Recipe,Vegetarian","Prepare the Basil., Prepare the Garlic., Prepare the Garlic., Prepare the Carrots., Prepare the Ginger.","Sugar, Ginger, Spinach, Carrots, Basil, Garlic",221,22,30,7,185,0.11,82,281,4.85,134
Pumpkin Soup,A delicious dish made with Onions and other ingredients.,29,"General,Recipe,Quick,Vegetarian","Prepare the Spinach., Prepare the Spinach., Prepare the Spinach., Prepare the Spinach., Prepare the Salt.","Salt, Spinach, Chili powder",530,44,31,7,1472,2.45,49,196,8.23,633
Sweet and Sour Chicken,A delicious dish made with Olive oil and other ingredients.,48,"General,Recipe,Low Fat","Prepare the Carrots., Prepare the Salt., Prepare the Cilantro., Prepare the Cilantro., Prepare the Pork.","Carrots, Pork, Salt, Cilantro, Chili powder",633,31,11,16,1207,0.18,89,174,4.33,356
Stuffed Mushrooms,A delicious dish made with Coconut milk and other ingredients.,16,"General,Recipe,Quick,Vegetarian","Prepare the Caesar dressing., Prepare the Coconut milk., Prepare the Caesar dressing., Prepare the Carrots., Prepare the Caesar dressing.","Coconut milk, Carrots, Caesar dressing",437,27,32,12,1489,2.66,88,110,4.63,865
Corn Chowder,A delicious dish made with Thyme and other ingredients.,16,"General,Recipe,Quick,Low Fat","Prepare the Coconut milk., Prepare the Chicken., Prepare the Cheese., Prepare the Coconut milk., Prepare the Lemon.","Coconut milk, Cheese, Lemon, Chicken",420,40,2,11,1040,3.67,48,165,1.23,34
Peach Cobbler,A delicious dish made with Onions and other ingredients.,38,"General,Recipe,Vegetarian","Prepare the Vegetable broth., Prepare the Vegetable broth., Prepare the Bell peppers., Prepare the Soy sauce., Prepare the Soy sauce.","Cilantro, Vegetable broth, Bell peppers, Soy sauce, Cumin, Sugar",758,30,29,26,1135,3.43,52,256,1.32,123
Creme Brulee,A delicious dish made with Eggs and other ingredients.,50,"General,Recipe","Prepare the Rice., Prepare the Rice., Prepare the Soy sauce., Prepare the Soy sauce., Prepare the Soy sauce.","Chicken, Spinach, Soy sauce, Tortillas, Rice, Onions",455,40,20,23,980,2.16,81,239,2.62,935
Pork Fried Rice,A delicious dish made with Cumin and other ingredients.,33,"General,Recipe,Vegetarian","Prepare the Soy sauce., Prepare the Basil., Prepare the Tomatoes., Prepare the Coconut milk., Prepare the Eggs.","Soy sauce, Tomatoes, Eggs, Sugar, Coconut milk, Basil",428,26,28,24,315,4.47,59,257,5.98,533
Greek Salad,A delicious dish made with Soy sauce and other ingredients.,42,"General,Recipe,Vegetarian","Prepare the Olive oil., Prepare the Flour., Prepare the Olive oil., Prepare the Garlic., Prepare the Rice.","Flour, Olive oil, Rice, Garlic",771,32,15,19,710,4.51,80,202,7.05,950
Samosas,A delicious dish made with Cumin and other ingredients.,18,"General,Recipe,Quick","Prepare the Eggs., Prepare the Coconut milk., Prepare the Coconut milk., Prepare the Soy sauce., Prepare the Coconut milk.","Beef, Soy sauce, Eggs, Lettuce, Coconut milk",484,34,31,15,524,2.24,59,223,1.14,105
Falafel,A delicious dish made with Tortillas and other ingredients.,54,"General,Recipe,Vegetarian,Low Fat","Prepare the Sugar., Prepare the Sugar., Prepare the Rosemary., Prepare the Vegetable broth., Prepare the Sugar.","Rosemary, Cilantro, Sugar, Vegetable broth, Chili powder",616,29,10,14,772,1.67,40,101,5.17,741
Tandoori Chicken,A delicious dish made with Cocoa powder and other ingredients.,37,"General,Recipe,Vegetarian,Low Fat","Prepare the Lemon., Prepare the Coconut milk., Prepare the Cocoa powder., Prepare the Basil., Prepare the Flour.","Basil, Cocoa powder, Carrots, Flour, Coconut milk, Lemon",323,41,4,20,646,4.98,99,299,3.57,880
Egg Drop Soup,A delicious dish made with Salt and other ingredients.,45,"General,Recipe,Low Fat","Prepare the Beef., Prepare the Pork., Prepare the Shrimp., Prepare the Cilantro., Prepare the Shrimp.","Cilantro, Shrimp, Beef, Pork",767,20,8,0,92,2.63,51,229,7.5,506
Beef Enchiladas,A delicious dish made with Sugar and other ingredients.,54,"General,Recipe,Low Fat","Prepare the Beef., Prepare the Shrimp., Prepare the Shrimp., Prepare the Coconut milk., Prepare the Basil.","Coconut milk, Tortillas, Rice, Basil, Beef, Shrimp",451,37,6,28,90,1.69,16,65,0.17,29
Burrito Bowl,A delicious dish made with Butter and other ingredients.,21,"General,Recipe,Quick,Low Fat","Prepare the Pork., Prepare the Pork., Prepare the Beef., Prepare the Vegetable broth., Prepare the Croutons.","Pork, Tomatoes, Vegetable broth, Croutons, Beef, Cheese",363,32,5,14,901,2.69,27,293,1.74,998
Seafood Linguine,A delicious dish made with Carrots and other ingredients.,34,"General,Recipe","Prepare the Chicken., Prepare the Chicken., Prepare the Carrots., Prepare the Soy sauce., Prepare the Soy sauce.","Chicken, Carrots, Coconut milk, Tomatoes, Sugar, Soy sauce",395,21,31,9,68,1.66,22,248,0.17,894
Fish and Chips,A delicious dish made with Salt and other ingredients.,49,"General,Recipe,Low Fat","Prepare the Broccoli., Prepare the Broccoli., Prepare the Chicken., Prepare the Chicken., Prepare the Tortillas.","Broccoli, Parmesan cheese, Chicken, Tortillas, Bell peppers",636,44,9,26,171,4.84,29,275,9.11,121
Caprese Salad,A delicious dish made with Bell peppers and other ingredients.,15,"General,Recipe,Quick,Vegetarian","Prepare the Bell peppers., Prepare the Tortillas., Prepare the Thyme., Prepare the Bell peppers., Prepare the Thyme.","Butter, Tortillas, Cocoa powder, Cilantro, Thyme, Bell peppers",501,43,24,12,181,4.23,91,119,9.94,431
Buffalo Wings,A delicious dish made with Sugar and other ingredients.,57,"General,Recipe,Low Fat","Prepare the Chicken., Prepare the Salt., Prepare the Chicken., Prepare the Coconut milk., Prepare the Salt.","Chicken, Balsamic vinegar, Spinach, Salt, Coconut milk",681,9,7,3,1089,0.94,76,273,7.67,84
Fettuccine Alfredo,A delicious dish made with Rice and other ingredients.,48,"General,Recipe,Vegetarian","Prepare the Basil., Prepare the Olive oil., Prepare the Shrimp., Prepare the Salt., Prepare the Soy sauce.","Shrimp, Soy sauce, Basil, Olive oil, Tomatoes, Salt",273,7,25,11,119,2.59,24,155,0.37,772
Spinach Salad,A delicious dish made with Ginger and other ingredients.,24,"General,Recipe,Quick,Low Fat","Prepare the Bell peppers., Prepare the Tortillas., Prepare the Tortillas., Prepare the Chicken., Prepare the Bell peppers.","Bell peppers, Tortillas, Chicken",248,9,4,8,1295,1.8,52,262,6.15,72
Sausage and Peppers,A delicious dish made with Thyme and other ingredients.,36,"General,Recipe,Vegetarian,Low Fat","Prepare the Sugar., Prepare the Tortillas., Prepare the Eggs., Prepare the Shrimp., Prepare the Eggs.","Eggs, Shrimp, Croutons, Sugar, Butter, Tortillas",602,16,12,25,98,2.52,44,291,0.99,433
Teriyaki Chicken,A delicious dish made with Soy sauce and other ingredients.,34,"General,Recipe","Prepare the Beef., Prepare the Beef., Prepare the Beef., Prepare the Beef., Prepare the Vegetable broth.","Pepper, Vegetable broth, Beef",522,31,16,22,76,1.63,27,284,0.04,553
Chicken Marsala,A delicious dish made with Pasta and other ingredients.,37,"General,Recipe,Vegetarian","Prepare the Thyme., Prepare the Spinach., Prepare the Shrimp., Prepare the Vegetable broth., Prepare the Vegetable broth.","Cocoa powder, Shrimp, Spinach, Thyme, Onions, Vegetable broth",769,25,18,4,1368,2.59,18,300,6.75,5
Pork Tenderloin,A delicious dish made with Shrimp and other ingredients.,27,"General,Recipe,Quick,Vegetarian","Prepare the Lemon., Prepare the Cheese., Prepare the Lemon., Prepare the Carrots., Prepare the Lemon.","Carrots, Cheese, Lemon",182,13,18,1,1040,1.21,63,79,2.58,742
